id,date,category,cases,deaths,intensive
497,2020-08-10,0-17,181,0,0
498,2020-08-10,18-39,1141,3,2
499,2020-08-10,40-64,1157,33,8
500,2020-08-10,65+,494,107,8
501,2020-08-11,0-17,185,0,0
502,2020-08-11,18-39,1206,3,2
503,2020-08-11,40-64,1177,33,8
504,2020-08-11,65+,500,107,8
505,2020-08-12,0-17,197,0,0
506,2020-08-12,18-39,1266,3,1
507,2020-08-12,40-64,1216,33,8
508,2020-08-12,65+,512,107,7
509,2020-08-13,0-17,213,0,0
510,2020-08-13,18-39,1335,3,1
511,2020-08-13,40-64,1241,33,7
512,2020-08-13,65+,522,110,7
513,2020-08-14,0-17,224,0,0
514,2020-08-14,18-39,1413,3,0
515,2020-08-14,40-64,1273,33,8
516,2020-08-14,65+,531,110,7
517,2020-08-15,0-17,231,0,0
518,2020-08-15,18-39,1510,3,0
519,2020-08-15,40-64,1296,33,9
520,2020-08-15,65+,538,112,6
521,2020-08-16,0-17,232,0,0
522,2020-08-16,18-39,1574,3,0
523,2020-08-16,40-64,1329,33,9
524,2020-08-16,65+,547,113,7
525,2020-08-17,0-17,238,0,0
526,2020-08-17,18-39,1614,3,0
527,2020-08-17,40-64,1355,33,8
528,2020-08-17,65+,553,113,8
529,2020-08-18,0-17,239,0,0
530,2020-08-18,18-39,1696,3,0
531,2020-08-18,40-64,1399,34,7
532,2020-08-18,65+,557,113,11
533,2020-08-19,0-17,244,0,0
534,2020-08-19,18-39,1749,3,0
535,2020-08-19,40-64,1441,35,7
536,2020-08-19,65+,573,115,13
537,2020-08-20,0-17,250,0,0
538,2020-08-20,18-39,1830,3,0
539,2020-08-20,40-64,1472,35,7
540,2020-08-20,65+,581,115,16
541,2020-08-21,0-17,256,0,0
542,2020-08-21,18-39,1894,3,0
543,2020-08-21,40-64,1499,36,7
544,2020-08-21,65+,590,116,15
545,2020-08-22,0-17,260,0,1
546,2020-08-22,18-39,1962,3,0
547,2020-08-22,40-64,1536,36,8
548,2020-08-22,65+,598,117,15
549,2020-08-23,0-17,264,0,1
550,2020-08-23,18-39,2048,3,0
551,2020-08-23,40-64,1574,36,8
552,2020-08-23,65+,608,119,14
553,2020-08-24,0-17,265,0,1
554,2020-08-24,18-39,2107,3,0
555,2020-08-24,40-64,1603,36,8
556,2020-08-24,65+,608,119,13
557,2020-08-25,0-17,271,0,1
558,2020-08-25,18-39,2171,3,0
559,2020-08-25,40-64,1631,36,8
560,2020-08-25,65+,623,120,13
561,2020-08-26,0-17,282,0,1
562,2020-08-26,18-39,2241,3,0
563,2020-08-26,40-64,1687,36,8
564,2020-08-26,65+,643,121,14
565,2020-08-27,0-17,294,0,0
566,2020-08-27,18-39,2303,3,0
567,2020-08-27,40-64,1733,37,8
568,2020-08-27,65+,654,125,16
569,2020-08-28,0-17,302,0,0
570,2020-08-28,18-39,2373,3,0
571,2020-08-28,40-64,1785,38,8
572,2020-08-28,65+,672,127,15
573,2020-08-29,0-17,306,0,0
574,2020-08-29,18-39,2422,3,0
575,2020-08-29,40-64,1820,38,8
576,2020-08-29,65+,679,127,17
577,2020-08-30,0-17,311,0,0
578,2020-08-30,18-39,2465,3,0
579,2020-08-30,40-64,1841,39,7
580,2020-08-30,65+,685,127,18
581,2020-08-31,0-17,338,0,0
582,2020-08-31,18-39,2499,3,0
583,2020-08-31,40-64,1874,39,8
584,2020-08-31,65+,694,129,18
585,2020-09-01,0-17,350,0,0
586,2020-09-01,18-39,2552,3,0
587,2020-09-01,40-64,1916,39,9
588,2020-09-01,65+,703,133,19
589,2020-09-02,0-17,355,0,0
590,2020-09-02,18-39,2603,3,0
591,2020-09-02,40-64,1970,39,9
592,2020-09-02,65+,722,133,19
593,2020-09-03,0-17,367,0,0
594,2020-09-03,18-39,2671,3,0
595,2020-09-03,40-64,2036,39,10
596,2020-09-03,65+,731,135,19
597,2020-09-04,0-17,375,0,0
598,2020-09-04,18-39,2713,3,0
599,2020-09-04,40-64,2078,39,9
600,2020-09-04,65+,741,136,19
601,2020-09-05,0-17,386,0,0
602,2020-09-05,18-39,2754,3,0
603,2020-09-05,40-64,2112,39,8
604,2020-09-05,65+,757,136,22
605,2020-09-06,0-17,387,0,0
606,2020-09-06,18-39,2783,3,0
607,2020-09-06,40-64,2146,39,9
608,2020-09-06,65+,763,137,22
609,2020-09-07,0-17,391,0,0
610,2020-09-07,18-39,2822,3,1
611,2020-09-07,40-64,2180,40,9
612,2020-09-07,65+,773,139,22
613,2020-09-08,0-17,397,0,0
614,2020-09-08,18-39,2868,3,1
615,2020-09-08,40-64,2213,41,9
616,2020-09-08,65+,780,139,22
617,2020-09-09,0-17,403,0,0
618,2020-09-09,18-39,2914,3,1
619,2020-09-09,40-64,2262,41,10
620,2020-09-09,65+,786,141,24
621,2020-09-10,0-17,410,0,0
622,2020-09-10,18-39,2977,3,1
623,2020-09-10,40-64,2344,42,10
624,2020-09-10,65+,797,142,26
625,2020-09-11,0-17,410,0,0
626,2020-09-11,18-39,3039,3,1
627,2020-09-11,40-64,2394,42,12
628,2020-09-11,65+,822,144,28
629,2020-09-12,0-17,424,0,0
630,2020-09-12,18-39,3093,3,1
631,2020-09-12,40-64,2456,43,13
632,2020-09-12,65+,838,144,28
633,2020-09-13,0-17,434,0,0
634,2020-09-13,18-39,3137,3,1
635,2020-09-13,40-64,2507,43,13
636,2020-09-13,65+,845,147,28
637,2020-09-14,0-17,440,0,0
638,2020-09-14,18-39,3184,3,1
639,2020-09-14,40-64,2536,43,14
640,2020-09-14,65+,851,150,27
641,2020-09-15,0-17,446,0,0
642,2020-09-15,18-39,3258,3,1
643,2020-09-15,40-64,2597,44,15
644,2020-09-15,65+,807,150,31
645,2020-09-16,0-17,453,0,0
646,2020-09-16,18-39,3342,3,1
647,2020-09-16,40-64,2659,44,16
648,2020-09-16,65+,902,152,30
649,2020-09-17,0-17,474,0,0
650,2020-09-17,18-39,3418,3,2
651,2020-09-17,40-64,2749,44,17
652,2020-09-17,65+,921,158,29
653,2020-09-18,0-17,489,0,0
654,2020-09-18,18-39,3490,3,2
655,2020-09-18,40-64,2818,45,18
656,2020-09-18,65+,936,158,31
657,2020-09-19,0-17,508,0,0
658,2020-09-19,18-39,3540,3,1
659,2020-09-19,40-64,2864,45,15
660,2020-09-19,65+,942,162,28
661,2020-09-20,0-17,507,0,0
662,2020-09-20,18-39,3562,3,2
663,2020-09-20,40-64,2901,46,19
664,2020-09-20,65+,951,164,33
665,2020-09-21,0-17,527,0,0
666,2020-09-21,18-39,3651,3,2
667,2020-09-21,40-64,2965,47,19
668,2020-09-21,65+,965,167,34
669,2020-09-22,0-17,544,0,0
