id,date,category,cases,deaths,intensive
554,2020-08-18,18-39,1305,0,0
555,2020-08-18,40-64,1145,12,2
556,2020-08-18,65+,486,70,4
557,2020-08-19,0-17,218,0,1
558,2020-08-19,18-39,1351,0,0
559,2020-08-19,40-64,1177,12,2
560,2020-08-19,65+,492,70,5
561,2020-08-20,0-17,226,0,1
562,2020-08-20,18-39,1409,0,0
563,2020-08-20,40-64,1198,12,1
564,2020-08-20,65+,504,70,5
565,2020-08-21,0-17,233,0,1
566,2020-08-21,18-39,1460,0,0
567,2020-08-21,40-64,1224,12,1
568,2020-08-21,65+,515,71,4
569,2020-08-22,0-17,236,0,1
570,2020-08-22,18-39,1521,0,0
571,2020-08-22,40-64,1260,12,2
572,2020-08-22,65+,521,72,4
573,2020-08-23,0-17,241,0,1
574,2020-08-23,18-39,1578,0,1
575,2020-08-23,40-64,1292,12,2
576,2020-08-23,65+,532,72,4
577,2020-08-24,0-17,246,0,1
578,2020-08-24,18-39,1610,0,1
579,2020-08-24,40-64,1317,12,3
580,2020-08-24,65+,537,72,4
581,2020-08-25,0-17,250,0,1
582,2020-08-25,18-39,1652,0,1
583,2020-08-25,40-64,1335,12,3
584,2020-08-25,65+,541,72,4
585,2020-08-26,0-17,256,0,1
586,2020-08-26,18-39,1703,0,1
587,2020-08-26,40-64,1371,12,3
588,2020-08-26,65+,558,76,5
589,2020-08-27,0-17,261,0,1
590,2020-08-27,18-39,1760,0,0
591,2020-08-27,40-64,1404,12,3
592,2020-08-27,65+,573,77,7
593,2020-08-28,0-17,266,0,1
594,2020-08-28,18-39,1808,0,0
595,2020-08-28,40-64,1439,12,4
596,2020-08-28,65+,590,79,7
597,2020-08-29,0-17,268,0,0
598,2020-08-29,18-39,1845,0,0
599,2020-08-29,40-64,1468,12,4
600,2020-08-29,65+,598,80,7
601,2020-08-30,0-17,273,0,0
602,2020-08-30,18-39,1883,0,0
603,2020-08-30,40-64,1498,12,4
604,2020-08-30,65+,606,81,6
605,2020-08-31,0-17,274,0,0
606,2020-08-31,18-39,1909,0,0
607,2020-08-31,40-64,1526,12,4
608,2020-08-31,65+,611,83,6
609,2020-09-01,0-17,278,0,0
610,2020-09-01,18-39,1962,0,0
611,2020-09-01,40-64,1556,12,4
612,2020-09-01,65+,623,84,6
613,2020-09-02,0-17,280,0,0
614,2020-09-02,18-39,1994,0,0
615,2020-09-02,40-64,1601,12,4
616,2020-09-02,65+,637,86,6
617,2020-09-03,0-17,287,0,0
618,2020-09-03,18-39,2036,0,0
619,2020-09-03,40-64,1626,12,4
620,2020-09-03,65+,652,89,6
621,2020-09-04,0-17,294,0,0
622,2020-09-04,18-39,2068,0,0
623,2020-09-04,40-64,1664,12,3
624,2020-09-04,65+,668,89,7
625,2020-09-05,0-17,297,0,0
626,2020-09-05,18-39,2093,0,0
627,2020-09-05,40-64,1695,12,3
628,2020-09-05,65+,680,90,7
629,2020-09-06,0-17,298,0,0
630,2020-09-06,18-39,2122,0,0
631,2020-09-06,40-64,1711,12,3
632,2020-09-06,65+,697,93,7
633,2020-09-07,0-17,301,0,0
634,2020-09-07,18-39,2138,0,0
635,2020-09-07,40-64,1732,13,3
636,2020-09-07,65+,701,94,7
637,2020-09-08,0-17,307,0,0
638,2020-09-08,18-39,2158,0,0
639,2020-09-08,40-64,1767,13,3
640,2020-09-08,65+,710,94,7
641,2020-09-09,0-17,316,0,0
642,2020-09-09,18-39,2213,0,0
643,2020-09-09,40-64,1821,13,4
644,2020-09-09,65+,726,95,7
645,2020-09-10,0-17,322,0,0
646,2020-09-10,18-39,2267,0,0
647,2020-09-10,40-64,1908,14,2
648,2020-09-10,65+,735,96,10
649,2020-09-11,0-17,330,0,0
650,2020-09-11,18-39,2317,0,0
651,2020-09-11,40-64,1966,14,2
652,2020-09-11,65+,748,97,9
653,2020-09-12,0-17,335,0,0
654,2020-09-12,18-39,2368,0,0
655,2020-09-12,40-64,2008,15,1
656,2020-09-12,65+,771,97,10
657,2020-09-13,0-17,342,0,0
658,2020-09-13,18-39,2390,0,0
659,2020-09-13,40-64,2039,15,2
660,2020-09-13,65+,784,97,10
661,2020-09-14,0-17,350,0,1
662,2020-09-14,18-39,2423,0,0
663,2020-09-14,40-64,2071,15,4
664,2020-09-14,65+,795,99,12
665,2020-09-15,0-17,362,0,1
666,2020-09-15,18-39,2476,0,0
667,2020-09-15,40-64,2124,15,6
668,2020-09-15,65+,812,101,13
669,2020-09-16,0-17,369,0,1
670,2020-09-16,18-39,2514,0,0
671,2020-09-16,40-64,2188,15,5
672,2020-09-16,65+,829,102,14
673,2020-09-17,0-17,377,0,1
674,2020-09-17,18-39,2572,0,0
675,2020-09-17,40-64,2243,15,5
676,2020-09-17,65+,850,105,15
677,2020-09-18,0-17,391,0,1
678,2020-09-18,18-39,2627,0,0
679,2020-09-18,40-64,2295,15,5
680,2020-09-18,65+,864,106,14
681,2020-09-19,0-17,399,0,1
682,2020-09-19,18-39,2663,0,0
683,2020-09-19,40-64,2340,15,5
684,2020-09-19,65+,870,106,15
685,2020-09-20,0-17,398,0,1
686,2020-09-20,18-39,2679,0,0
687,2020-09-20,40-64,2361,15,8
688,2020-09-20,65+,877,110,15
689,2020-09-21,0-17,420,0,1
690,2020-09-21,18-39,2761,0,0
691,2020-09-21,40-64,2399,15,8
692,2020-09-21,65+,884,112,15
693,2020-09-22,0-17,443,0,1
694,2020-09-22,18-39,2818,0,0
695,2020-09-22,40-64,2462,15,7
696,2020-09-22,65+,903,115,13
697,2020-09-23,0-17,459,0,1
698,2020-09-23,18-39,2877,0,0
699,2020-09-23,40-64,2514,15,6
700,2020-09-23,65+,920,116,13
701,2020-09-24,0-17,477,0,1
702,2020-09-24,18-39,2934,0,0
703,2020-09-24,40-64,2569,16,7
704,2020-09-24,65+,941,118,13
705,2020-09-25,0-17,490,0,0
706,2020-09-25,18-39,2985,0,0
707,2020-09-25,40-64,2613,16,4
708,2020-09-25,65+,969,121,11
709,2020-09-26,0-17,504,0,0
710,2020-09-26,18-39,3031,0,1
711,2020-09-26,40-64,2652,16,4
712,2020-09-26,65+,981,123,11
713,2020-09-27,0-17,512,0,0
714,2020-09-27,18-39,3071,1,0
715,2020-09-27,40-64,2692,16,5
716,2020-09-27,65+,986,124,11
717,2020-09-28,0-17,518,0,0
718,2020-09-28,18-39,3109,1,0
719,2020-09-28,40-64,2730,16,5
720,2020-09-28,65+,996,125,12
721,2020-09-29,0-17,539,0,0
722,2020-09-29,18-39,3164,1,0
723,2020-09-29,40-64,2781,16,7
724,2020-09-29,65+,1026,126,12
725,2020-09-30,0-17,547,0,0
726,2020-09-30,18-39,3214,1,0
727,2020-09-30,40-64,2838,16,7
728,2020-09-30,65+,1043,127,15
729,2020-10-01,0-17,558,0,0
730,2020-10-01,18-39,3272,1,0
731,2020-10-01,40-64,2905,16,8
732,2020-10-01,65+,1081,127,19
733,2020-10-02,0-17,571,0,0
734,2020-10-02,18-39,3343,1,0
735,2020-10-02,40-64,3038,17,9
736,2020-10-02,65+,1105,129,17
737,2020-10-03,0-17,581,0,0
